profit;strategy;x;y;value
2015;dca;0;5;1660
2015;dva1;1;5;1626
2015;dva2;2;5;1584
2015;lumpsum1;3;5;1312
2015;lumpsum2;4;5;1605
2016;dca;0;4;2092
2016;dva1;1;4;1651
2016;dva2;2;4;1594
2016;lumpsum1;3;4;3201
2016;lumpsum2;4;4;1136
2017;dca;0;3;15590
2017;dva1;1;3;8805
2017;dva2;2;3;5026
2017;lumpsum1;3;3;32661
2017;lumpsum2;4;3;11547
2018;dca;0;2;-1191
2018;dva1;1;2;-1394
2018;dva2;2;2;-1344
2018;lumpsum1;3;2;-1950
2018;lumpsum2;4;2;-1110
2019;dca;0;1;375
2019;dva1;1;1;415
2019;dva2;2;1;497
2019;lumpsum1;3;1;2266
2019;lumpsum2;4;1;-868
2020;dca;0;0;4907
2020;dva1;1;0;3903
2020;dva2;2;0;2943
2020;lumpsum1;3;0;6637
2020;lumpsum2;4;0;5550
