sharpe;strategy;x;y;value
2015;dca;0;5;0,95
2015;dva1;1;5;1,26
2015;dva2;2;5;0,82
2015;lumpsum1;3;5;0,75
2015;lumpsum2;4;5;1,39
2016;dca;0;4;1,67
2016;dva1;1;4;2,26
2016;dva2;2;4;1,61
2016;lumpsum1;3;4;2,56
2016;lumpsum2;4;4;1,79
2017;dca;0;3;6,29
2017;dva1;1;3;13,13
2017;dva2;2;3;3,18
2017;lumpsum1;3;3;13,18
2017;lumpsum2;4;3;5,6
2018;dca;0;2;-0,57
2018;dva1;1;2;-0,42
2018;dva2;2;2;-0,39
2018;lumpsum1;3;2;-0,93
2018;lumpsum2;4;2;-0,93
2019;dca;0;1;0,21
2019;dva1;1;1;0,26
2019;dva2;2;1;0,25
2019;lumpsum1;3;1;1,28
2019;lumpsum2;4;1;-0,71
2020;dca;0;0;2,64
2020;dva1;1;0;3,5
2020;dva2;2;0;1,92
2020;lumpsum1;3;0;3,56
2020;lumpsum2;4;0;5,65
